Plaatsnaam;Provincie;Latitude;Longitude
Langeveen;Overijssel;524.688.342;67.122.981
Langeweg;Noord-Brabant;516.409.109;46.679.143
Langezwaag;Friesland;529.824.148;60.025.602
Langweer;Friesland;529.583.718;5.723.091
Laren;Gelderland;521.920.834;63.655.408
Laren;Noord-Holland;522.457.888;5.235.175
Lathum;Gelderland;519.877.312;60.199.814
Lattrop-Breklenkamp;Overijssel;52.426.667;6.975.833
Lauwersoog;Groningen;534.053.662;62.120.483
Lauwerzijl;Groningen;533.112.927;62.968.599
Ledeacker;Noord-Brabant;516.362.282;58.746.627
Leek;Groningen;531.616.114;63.906.165
Leende;Noord-Brabant;513.494.735;55.525.049
Leens;Groningen;533.592.831;63.788.203
Leerbroek;Zuid-Holland;519.085.296;50.509.421
Leerdam;Zuid-Holland;519.061.425;50.954.114
Leermens;Groningen;533.460.884;67.976.523
Leersum;Utrecht;520.120.583;54.295.484
Leeuwarden;Friesland;531.660.025;57.994.674
Legemeer;Friesland;529.394.865;57.289.998
Leiden;Zuid-Holland;521.740.226;4.481.025
Leiderdorp;Zuid-Holland;521.706.496;45.345.305
Leidschendam;Zuid-Holland;520.598.103;43.559.008
Leimuiden;Zuid-Holland;522.240.539;46.668.746
Leimuiderbrug;Noord-Holland;522.309.985;46.680.189
Lekkerkerk;Zuid-Holland;519.021.429;46.904.306
Lekkum;Friesland;532.256.277;58.203.814
Lellens;Groningen;533.010.629;67.086.477
Lelystad;Flevoland;524.938.392;54.383.556
Lemele;Overijssel;524.541.351;64.163.371
Lemelerveld;Overijssel;524.376.073;63.012.715
Lemiers;Limburg;507.854.894;59.924.527
Lemmer;Friesland;528.568.259;57.019.512
Lengel;Gelderland;518.861.452;62.667.255
Lent;Gelderland;518.620.511;58.671.918
Leons;Friesland;531.521.734;56.796.607
Lepelstraat;Noord-Brabant;515.495.719;42.767.692
Lettelbert;Groningen;53.189.028;64.056.003
Lettele;Overijssel;522.765.024;62.719.909
Leunen;Limburg;51.508.274;59.796.526
Leur;Gelderland;518.184.636;56.936.586
Leusden;Utrecht;521.218.579;54.371.343
Leuth;Gelderland;518.376.223;59.930.785
Leutingewolde;Drenthe;531.571.216;64.302.357
Leuvenheim;Gelderland;520.745.753;61.393.956
Leveroy;Limburg;512.495.322;5.850.881
Lewedorp;Zeeland;514.951.309;37.501.853
Lexmond;Zuid-Holland;519.633.397;50.363.307
Lichtaard;Friesland;533.258.678;59.131.033
Lichtenvoorde;Gelderland;519.753.532;65.639.008
Liempde;Noord-Brabant;51.569.362;53.723.188
Lienden;Gelderland;519.475.664;55.183.547
Lierderholthuis;Overijssel;524.357.007;6.192.276
Lieren;Gelderland;521.622.894;59.887.781
Lierop;Noord-Brabant;514.191.765;56.821.138
Lies;Friesland;533.938.612;53.262.428
Lieshout;Noord-Brabant;515.197.504;55.945.613
Liessel;Noord-Brabant;514.141.759;5.821.055
Lievelde;Gelderland;520.095.187;65.947.685
Lieveren;Drenthe;531.152.374;64.535.439
Lijnden;Noord-Holland;523.538.766;47.544.953
Limbricht;Limburg;510.127.729;58.369.369
Limmen;Noord-Holland;525.715.831;46.942.467
Linde;Drenthe;526.394.212;64.477.951
Linden;Noord-Brabant;517.492.987;58.333.084
Linne;Limburg;51.155.428;59.405.902
Linschoten;Utrecht;520.613.274;49.149.988
Lioessens;Friesland;533.805.168;60.890.796
Lippenhuizen;Friesland;530.174.444;60.919.597
Lisse;Zuid-Holland;522.666.055;45.650.765
Lisserbroek;Noord-Holland;522.605.498;45.709.544
Lith;Noord-Brabant;518.065.563;54.399.971
Lithoijen;Noord-Brabant;518.009.283;54.591.853
Lobith;Gelderland;51.861.895;61.185.933
Lochem;Gelderland;521.583.796;64.054.172
Loenen;Gelderland;521.164.315;60.190.086
Loenen aan de Vecht;Utrecht;522.110.379;50.231.899
Loenersloot;Utrecht;522.294.321;49.993.569
Loënga;Friesland;53.05;56.833.333
Loerbeek;Gelderland;519.202.429;61.989.397
Lollum;Friesland;531.258.912;55.309.636
Lomm;Limburg;514.482.863;61.696.691
Longerhouw;Friesland;530.692.241;54.784.098
Loo;Gelderland;51.930.351;59.871.029
Loon;Drenthe;530.128.714;66.119.947
Loon op Zand;Noord-Brabant;516.270.137;50.720.086
Loosbroek;Noord-Brabant;516.735.138;5.500.741
Loosdrecht;Noord-Holland;52.216.667;5.066.667
Loozen;Overijssel;525.936.784;66.654.677
Lopik;Utrecht;51.974.861;49.451.478
Lopikerkapel;Utrecht;519.919.862;50.458.469
Loppersum;Groningen;533.321.749;67.479.874
Losdorp;Groningen;533.753.644;68.355.789
Losser;Overijssel;522.560.984;69.854.056
Lottum;Limburg;514.608.598;61.605.462
Lucaswolde;Groningen;531.836.312;63.002.186
Luchthaven Schiphol;Noord-Holland;523.105.386;47.682.744
Luddeweer;Groningen;53.252.436;67.402.444
Luinjeberd;Friesland;529.918.842;59.247.596
Lunteren;Gelderland;520.882.573;56.173.006
Lutjebroek;Noord-Holland;526.983.506;52.057.581
Lutjegast;Groningen;53.234.684;62.574.597
Lutjewinkel;Noord-Holland;527.675.819;4.885.082
Lutkewierum;Friesland;530.886.961;5.663.273
Luttelgeest;Flevoland;527.452.418;58.533.301
Lutten;Overijssel;526.111.248;65.735.742
Luttenberg;Overijssel;524.048.721;63.675.484
Luxwoude;Friesland;529.964.646;59.822.194
Luyksgestel;Noord-Brabant;512.893.698;53.258.872
Maarheeze;Noord-Brabant;513.103.841;56.148.653
Maarn;Utrecht;520.655.445;53.768.954
Maarsbergen;Utrecht;520.581.194;54.054.317
Maarssen;Utrecht;521.225.934;50.312.314
Maartensdijk;Utrecht;521.594.706;51.670.032
Maasbommel;Gelderland;518.216.389;5.534.452
Maasbracht;Limburg;511.404.101;5.888.583
Maasbree;Limburg;513.584.896;60.503.002
Maasdam;Zuid-Holland;517.876.295;45.566.676
Maasdijk;Zuid-Holland;519.593.107;42.144.274
Maashees;Noord-Brabant;515.701.118;603.481
Maasland;Zuid-Holland;519.350.968;42.728.618
Maassluis;Zuid-Holland;519.360.096;42.418.192
Maastricht;Limburg;508.234.882;5.706.143
Maastricht-Airport;Limburg;50.924.444;5.781.111
Maasvlakte;Zuid-Holland;51.962.398;40.567.997
Macharen;Noord-Brabant;518.043.581;55.453.565
Made;Noord-Brabant;516.807.586;47.943.492
Makkinga;Friesland;52.980.487;62.173.244
Makkum;Friesland;530.561.114;54.032.128
Malden;Gelderland;517.832.872;58.533.248
Mander;Overijssel;524.451.854;68.260.297
Manderveen;Overijssel;524.453.261;67.781.231
Mantgum;Friesland;531.291.256;57.206.493
Mantinge;Drenthe;528.033.399;6.613.972
Maren-Kessel;Noord-Brabant;517.957.011;53.946.991
Margraten;Limburg;508.204.632;58.209.934
Maria Hoop;Limburg;51.091.389;5.969.444
Mariahout;Noord-Brabant;515.397.618;55.714.891
Mariaparochie;Overijssel;523.802.348;67.069.399
Mariënberg;Overijssel;525.166.667;65.666.667
Mariënheem;Overijssel;523.833.333;63.166.667
Mariënvelde;Gelderland;520.166.667;64.666.667
Marijenkampen;Overijssel;528.154.534;60.589.933
Markelo;Overijssel;522.318.971;65.000.676
Marken;Noord-Holland;524.589.926;51.032.057
Markenbinnen;Noord-Holland;525.302.023;47.812.856
Marknesse;Flevoland;527.115.592;58.645.588
Marle;Overijssel;524.132.581;61.260.936
Marrum;Friesland;53.322.673;58.018.778
Marsum;Friesland;532.107.798;57.266.674
Marum;Groningen;531.462.522;62.673.259
Marwijksoord;Drenthe;529.630.792;66.596.679
Mastenbroek;Overijssel;525.760.505;60.335.428
Matsloot;Drenthe;53.2;6.466.667
Maurik;Gelderland;519.617.905;5.421.033
Mechelen;Limburg;507.953.616;59.247.456
Medemblik;Noord-Holland;527.674.467;51.069.179
Meeden;Groningen;531.387.725;69.284.995
Meedhuizen;Groningen;53.287.555;69.113.476
Meerkerk;Zuid-Holland;519.184.658;49.899.362
Meerlo;Limburg;515.135.768;60.854.637
Meerssen;Limburg;508.849.427;57.526.367
Meeuwen;Noord-Brabant;51.728.317;50.090.627
Megchelen;Gelderland;518.386.731;63.935.931
Megen;Noord-Brabant;518.213.739;55.636.481
Meijel;Limburg;513.440.883;58.908.029
Melderslo;Limburg;514.615.797;6.084.853
Melick;Limburg;511.572.306;6.033.625
Meliskerke;Zeeland;515.140.606;35.097.681
Melissant;Zuid-Holland;517.700.572;40.707.187
Menaam;Friesland;532.179.186;56.618.266
Mensingeweer;Groningen;533.516.434;64.648.158
Meppel;Drenthe;526.839.281;61.772.942
Meppen;Drenthe;527.822.588;66.948.796
Merkelbeek;Limburg;509.539.439;59.400.246
Merselo;Limburg;515.297.637;59.283.115
Meteren;Gelderland;51.863.947;52.813.551
Meterik;Limburg;514.552.708;60.249.317
Metslawier;Friesland;533.606.625;60.665.857
Mheer;Limburg;507.785.433;57.927.004
Middelaar;Limburg;517.247.379;59.156.076
Middelburg;Zeeland;514.979.322;3.644.966
Middelharnis;Zuid-Holland;517.532.936;41.646.715
Middelie;Noord-Holland;525.355.665;50.158.893
Middelstum;Groningen;533.470.805;66.416.276
Middenbeemster;Noord-Holland;525.481.066;49.109.338
Middenmeer;Noord-Holland;528.110.945;49.948.975
Midlaren;Drenthe;531.096.514;66.778.555
Midlum;Friesland;531.881.629;54.445.904
Midsland;Friesland;53.382.631;52.874.422
Midwolda;Groningen;53.201.251;70.027.091
Midwolde;Groningen;531.804.874;6.392.191
Midwoud;Noord-Holland;52.712.653;50.703.139
Miedum;Friesland;532.354.527;58.388.712
Mierlo;Noord-Brabant;514.389.663;56.200.096
Mijdrecht;Utrecht;522.168.475;48.449.787
Mijnsheerenland;Zuid-Holland;517.968.546;44.852.016
Mildam;Friesland;529.349.101;60.030.051
Milheeze;Noord-Brabant;515.038.039;57.800.695
Mill;Noord-Brabant;516.877.193;57.845.872
Millingen aan de Rijn;Gelderland;518.633;60.475
Milsbeek;Limburg;517.265.999;59.507.431
Minnertsga;Friesland;532.509.346;55.980.342
Mirns;Friesland;528.567.456;54.649.598
Moddergat;Friesland;534.030.752;60.819.604
Moerdijk;Noord-Brabant;516.881.524;46.079.777
Moergestel;Noord-Brabant;515.462.872;51.709.311
Moerkapelle;Zuid-Holland;520.402.845;45.736.313
Moerstraten;Noord-Brabant;515.410.276;43.420.642
Molenaarsgraaf;Zuid-Holland;518.776.962;48.287.892
Molenhoek;Limburg;517.650.181;58.699.691
Molenschot;Noord-Brabant;515.728.921;48.820.195
Molkwerum;Friesland;529.003.905;539.941
Monnickendam;Noord-Holland;524.555.687;50.392.316
Monster;Zuid-Holland;520.239.545;41.731.144
Montfoort;Utrecht;520.362.127;49.518.586
Montfort;Limburg;511.260.454;59.476.358
Mook;Limburg;517.514.159;58.834.801
Mookhoek;Zuid-Holland;517.520.703;45.957.148
Moordrecht;Zuid-Holland;519.873.863;46.689.582
Moorveld;Limburg;509.192.879;5.764.185
Morra;Friesland;533.719.241;60.879.929
Mortel;Noord-Brabant;515.389.606;57.197.279
Muiden;Noord-Holland;523.286.972;50.683.449
Muiderberg;Noord-Holland;523.263.049;51.165.375
Mûnein;Friesland;5.325.164;591.874
Munnekeburen;Friesland;528.508.842;58.880.353
Munnekezijl;Friesland;533.039.412;62.715.022
Munstergeleen;Limburg;509.741.745;58.639.537
Muntendam;Groningen;531.350.842;68.689.358
Mussel;Groningen;529.567.772;70.387.702
Musselkanaal;Groningen;529.268.737;70.180.003
Naaldwijk;Zuid-Holland;520.010.123;42.031.587
Naarden;Noord-Holland;52.287.546;51.261.305
Nagele;Flevoland;526.441.699;57.242.342
Nederasselt;Gelderland;517.721.853;57.434.596
Nederhemert;Gelderland;51.762.778;5.161.667
Nederhorst den Berg;Noord-Holland;522.601.767;50.449.932
Nederland;Overijssel;527.549.781;59.652.516
Nederweert;Limburg;512.865.631;57.527.014
Nederweert-Eind;Limburg;51.276.111;5.779.722
Neede;Gelderland;52.133.808;66.293.318
Neer;Limburg;51.259.826;59.893.002
Neerijnen;Gelderland;518.319.019;52.793.557
Neeritter;Limburg;511.645.144;58.030.819
Neerkant;Noord-Brabant;513.684.598;58.667.024
Nes;Friesland;534.463.849;57.761.027
Netersel;Noord-Brabant;514.045.925;52.096.153
Netterden;Gelderland;518.560.488;63.138.811
Niawier;Friesland;533.636.696;60.477.812
Nibbixwoud;Noord-Holland;526.929.271;50.567.118
Niebert;Groningen;53.157.657;63.206.015
Niehove;Groningen;532.899.865;63.666.981
Niekerk;Groningen;53.341.901;63.291.415
Nietap;Drenthe;531.587.848;64.008.223
Nieuw Balinge;Drenthe;527.673.402;66.056.588
Nieuw en Sint Joosland;Zeeland;514.834.686;36.583.794
Nieuw Heeten;Overijssel;523.194.906;63.515.673
Nieuw Vennep;Noord-Holland;522.537.068;46.567.455
Nieuw-Amsterdam;Drenthe;527.145.064;6.863.239
Nieuw-Annerveen;Drenthe;530.660.183;67.759.541
Nieuw-Beerta;Groningen;531.892.256;71.625.112
Nieuw-Beijerland;Zuid-Holland;518.116.663;43.417.332
Nieuw-Buinen;Drenthe;529.546.087;69.293.619
Nieuw-Dordrecht;Drenthe;527.485.136;69.678.617
Nieuw-Lekkerland;Zuid-Holland;518.872.759;46.858.964
Nieuw-Namen;Zeeland;512.937.002;41.613.557
Nieuw-Roden;Drenthe;531.282.095;63.793.879
Nieuw-Scheemda;Groningen;53.209.444;6.942.778
Nieuw-Schoonebeek;Drenthe;52.646.371;69.859.122
Nieuw-Vossemeer;Noord-Brabant;515.896.321;42.179.697
Nieuw-Weerdinge;Drenthe;528.567.203;69.875.144
Nieuwaal;Gelderland;518.098.893;51.790.214
Nieuwdorp;Zeeland;514.705.122;37.403.466
Nieuwe Niedorp;Noord-Holland;527.377.535;48.913.015
Nieuwe Pekela;Groningen;530.646.944;69.462.204
Nieuwe Wetering;Zuid-Holland;52.204.891;46.158.037
Nieuwe-Tonge;Zuid-Holland;517.137.696;41.648.577
Nieuwebrug;Friesland;529.907.088;58.849.227
Nieuwediep;Drenthe;530.400.171;68.605.341
Nieuwegein;Utrecht;520.330.418;51.055.921
Nieuwehorne;Friesland;529.483.417;60.570.387
Nieuwendijk;Noord-Brabant;517.704.114;49.219.419
Nieuwer-Ter-Aa;Utrecht;521.908.875;49.819.382
Nieuwerbrug;Zuid-Holland;520.778.881;48.127.843
Nieuwerkerk;Zeeland;516.496.411;40.004.632
Nieuwerkerk aan den IJssel;Zuid-Holland;519.761.227;46.201.103
Nieuweroord;Drenthe;527.302.483;65.639.159
Nieuwersluis;Utrecht;52.196.389;5.007.222
Nieuweschoot;Friesland;529.309.449;59.332.436
Nieuwkoop;Zuid-Holland;521.500.559;4.777.359
Nieuwkuijk;Noord-Brabant;516.903.595;51.780.672
Nieuwland;Zuid-Holland;519.011.115;50.150.939
Nieuwlande;Drenthe;526.951.862;66.101.208
Nieuwlande Coevorden;Drenthe;527.044.659;66.408.586
Nieuwleusen;Overijssel;525.845.594;62.855.194
Nieuwolda;Groningen;532.448.575;69.745.486
Nieuwpoort;Zuid-Holland;519.347.419;48.692.024
Nieuwstadt;Limburg;510.368.359;58.618.076
Nieuwveen;Zuid-Holland;521.982.849;47.566.311
Nieuwvliet;Zeeland;513.719.096;34.733.429
Niezijl;Groningen;53.264.168;6.339.157
Niftrik;Gelderland;517.964.381;56.712.102
Nigtevecht;Utrecht;522.738.533;50.285.536
Nij Beets;Friesland;530.702.908;60.032.155
Nijbroek;Gelderland;522.917.672;60.617.326
Nijeberkoop;Friesland;529.586.587;6.191.014
Nijega;Friesland;531.406.092;60.262.654
Nijehaske;Friesland;529.613.501;58.935.762
Nijeholtpade;Friesland;529.124.446;60.783.552
Nijeholtwolde;Friesland;528.959.354;59.871.194
Nijelamer;Friesland;528.862.115;59.582.476
Nijemirdum;Friesland;528.557.002;55.673.222
Nijensleek;Drenthe;52.833.003;61.601.381
Nijetrijne;Friesland;528.429.864;59.086.643
Nijeveen;Drenthe;527.316.875;61.636.226
Nijhuizum;Friesland;529.801.037;5.485.533
Nijkerk;Gelderland;522.165.076;54.624.407
Nijkerkerveen;Gelderland;52.195.124;54.665.941
Nijland;Friesland;530.509.933;55.765.426
Nijlande;Drenthe;529.739.045;66.267.244
Nijmegen;Gelderland;518.320.715;57.804.025
Nijverdal;Overijssel;523.810.725;64.812.109
Nispen;Noord-Brabant;514.864.749;44.532.481
Nisse;Zeeland;514.557.231;38.518.473
Nistelrode;Noord-Brabant;517.043.949;55.612.692
Noardburgum;Friesland;532.252.228;60.034.093
Nooitgedacht;Drenthe;529.680.301;66.648.143
Noorbeek;Limburg;50.768.969;58.126.918
Noord-Scharwoude;Noord-Holland;526.986.574;48.108.679
Noord-Sleen;Drenthe;527.918.785;68.022.555
Noordbeemster;Noord-Holland;525.797.174;49.322.059
Noordbroek;Groningen;531.982.756;68.729.858
Noordeinde;Gelderland;525.136.741;58.746.885
Noordeinde;Noord-Holland;525.713.907;48.356.906
Noordeloos;Zuid-Holland;519.041.025;4.944.463
Noorden;Zuid-Holland;521.725.145;48.553.571
Noordgouwe;Zeeland;516.934.407;39.382.807
Noordhoek;Noord-Brabant;516.429.953;45.336.613
Noordhorn;Groningen;532.608.598;63.953.353
Noordlaren;Groningen;531.209.975;66.655.157
Noordscheschut;Drenthe;527.237.546;65.356
Noordwelle;Zeeland;517.180.023;37.923.999
Noordwijk;Zuid-Holland;523.076.858;45.010.698
Noordwijk;Groningen;531.702.202;62.572.103
Noordwijkerhout;Zuid-Holland;522.601.939;44.955.838
Noordwolde;Friesland;528.905.767;61.412.468
Noordwolde;Groningen;532.723.056;6.588.888
Nootdorp;Zuid-Holland;520.479.345;43.898.329
Norg;Drenthe;530.654.251;64.615.554
Notter;Overijssel;52.333.679;65.193.307
Nuenen;Noord-Brabant;514.942.205;55.535.147
Nuis;Groningen;531.513.902;63.023.941
Nuland;Noord-Brabant;517.301.383;5.419.946
Numansdorp;Zuid-Holland;51.734.768;44.382.137
Nunhem;Limburg;512.453.624;59.609.248
Nunspeet;Gelderland;52.373.101;58.134.001
Nuth;Limburg;509.114.274;58.925.961
Nutter;Overijssel;524.229.625;68.807.226
Obbicht;Limburg;510.280.231;57.812.383
Obdam;Noord-Holland;526.760.192;49.081.883
Ochten;Gelderland;519.086.097;55.666.792
Odijk;Utrecht;520.521.446;52.356.248
Odiliapeel;Noord-Brabant;516.439.997;57.029.224
Odoorn;Drenthe;528.505.215;68.470.359
Odoornerveen;Drenthe;52.843.806;67.865.982
Oeffelt;Noord-Brabant;516.928.062;59.386.646
Oegstgeest;Zuid-Holland;521.940.338;44.793.487
Oene;Gelderland;523.441.039;60.473.687
Oentsjerk;Friesland;532.533.813;58.987.505
Offingawier;Friesland;53.030.926;56.941.529
Ohé en Laak;Limburg;511.166.667;5.85
Oijen;Noord-Brabant;51.825.144;55.027.547
Oirlo;Limburg;515.148.307;60.331.578
Oirsbeek;Limburg;509.501.105;59.079.467
Oirschot;Noord-Brabant;514.981.522;531.227
Oisterwijk;Noord-Brabant;51.584.334;51.683.116
Okkenbroek;Overijssel;522.983.662;6.320.483
Olburgen;Gelderland;520.456.583;6.123.997
Oldeberkoop;Friesland;529.386.406;61.307.136
Oldebroek;Gelderland;524.474.448;58.983.168
Oldeholtpade;Friesland;528.927.613;6.047.896
Oldeholtwolde;Friesland;529.064.184;60.107.631
Oldehove;Groningen;533.037.688;63.962.634
Oldekerk;Groningen;532.192.619;63.393.857
Oldelamer;Friesland;528.712.795;59.320.965
Oldemarkt;Overijssel;528.201.219;59.748.349
Oldenzaal;Overijssel;523.248.619;69.064.694
Oldenzijl;Groningen;533.937.428;67.163.208
Oldeouwer;Friesland;529.181.233;57.982.042
Oldetrijne;Friesland;528.619.047;5.946.056
Olst;Overijssel;523.377.894;61.141.253
Olterterp;Friesland;530.665.481;61.006.335
Ommel;Noord-Brabant;514.231.409;57.476.111
Ommen;Overijssel;525.248.059;64.262.926
Ommeren;Gelderland;5.194.795;5.493.864
Onderdendam;Groningen;53.334.958;65.888.657
Onna;Overijssel;527.731.967;61.598.236
Onnen;Groningen;531.547.795;66.434.991
Onstwedde;Groningen;530.329.259;70.404.253
Ooij;Gelderland;518.546.481;59.391.535
Ooltgensplaat;Zuid-Holland;51.682.876;4.330.104
Oost- West- en Middelbeers;Noord-Brabant;51.471.631;52.430.774
Oost-Graftdijk;Noord-Holland;525.451.072;48.138.621
Oost-Souburg;Zeeland;51.467.957;36.055.656
Oostburg;Zeeland;513.269.782;34.896.439
Oostdijk;Zeeland;514.435.618;40.789.366
Oosteind;Noord-Brabant;516.460.883;49.036.273
Oosterbeek;Gelderland;519.802.492;58.413.961
Oosterbierum;Friesland;532.345.932;55.123.207
Oosterblokker;Noord-Holland;526.686.263;51.179.221
Oosterend;Noord-Holland;530.853.623;48.768.743
Oosterend;Friesland;534.043.348;5.379.603
Oosterhesselen;Drenthe;52.757.589;67.173.263
Oosterhout;Gelderland;519.511.714;58.622.528
Oosterhout;Noord-Brabant;516.700.535;48.605.876
Oosterland;Zeeland;516.501.195;40.375.444
Oosterleek;Noord-Holland;526.389.783;51.971.095
Oosternieland;Groningen;534.012.414;67.552.403
Oosternijkerk;Friesland;533.791.579;60.535.304
Oosterstreek;Friesland;52.899.167;6.169.167
Oosterwijk;Zuid-Holland;51.878.744;50.786.707
Oosterwijtwerd;Groningen;533.375.213;68.146.678
Oosterwolde;Gelderland;524.650.841;589.463
Oosterwolde;Friesland;529.982.454;62.866.004
Oosterzee;Friesland;528.699.773;57.529.451
Oosthem;Friesland;530.165.259;56.012.921
Oosthuizen;Noord-Holland;525.739.553;49.975.843
Oostkapelle;Zeeland;51.567.147;35.525.823
Oostknollendam;Noord-Holland;525.166.916;47.906.888
Oostrum;Friesland;533.316.767;60.616.104
Oostrum;Limburg;51.528.588;60.161.961
Oostvoorne;Zuid-Holland;519.113.563;40.946.488
Oostwold;Groningen;532.019.143;64.399.362
Oostwoud;Noord-Holland;527.252.238;50.905.909
Oostzaan;Noord-Holland;524.404.972;48.757.219
Ootmarsum;Overijssel;524.076.329;6.897.314
Opeinde;Friesland;531.347.884;60.555.258
Opende;Groningen;531.743.619;61.983.669
Ophemert;Gelderland;518.448.045;53.870.453
Opheusden;Gelderland;519.330.254;5.629.707
Opijnen;Gelderland;51.826.866;52.979.789
Oploo;Noord-Brabant;516.083.434;58.751.423
Opmeer;Noord-Holland;527.053.787;49.426.672
Oppenhuizen;Friesland;530.125.795;56.964.222
Opperdoes;Noord-Holland;527.602.994;50.765.027
Oranje;Drenthe;529.072.505;64.451.127
Oranjewoud;Friesland;529.504.028;59.633.787
Orvelte;Drenthe;528.438.688;66.598.629
Ospel;Limburg;512.995.048;57.861.993
Oss;Noord-Brabant;517.610.501;55.510.411
Ossendrecht;Noord-Brabant;513.946.825;43.335.782
Ossenisse;Zeeland;513.884.661;39.804.612
Ossenwaard;Utrecht;51.991.944;5.137.222
Ossenzijl;Overijssel;528.087.816;59.211.295
Oterleek;Noord-Holland;526.368.592;48.348.999
Otterlo;Gelderland;520.996.367;5.773.453
Ottersum;Limburg;517.024.505;59.845.826
Ottoland;Zuid-Holland;518.908.145;48.615.678
Oud Gastel;Noord-Brabant;515.839.216;44.629.309
Oud-Ade;Zuid-Holland;521.916.423;45.664.685
Oud-Alblas;Zuid-Holland;518.569.169;47.034.111
Oud-Annerveen;Drenthe;53.088.611;6.760.556
Oud-Beijerland;Zuid-Holland;518.245.814;43.926.088
Oud-Ootmarsum;Overijssel;524.180.102;69.089.293
Oud-Vossemeer;Zeeland;515.705.615;4.198.129
Oud-Zuilen;Utrecht;521.280.085;50.703.357
Ouddorp;Zuid-Holland;518.090.723;39.352.037
Oude Bildtzijl;Friesland;533.136.219;5.708.998
Oude Meer;Noord-Holland;522.899.333;47.833.671
Oude Pekela;Groningen;531.032.425;70.064.744
Oude Wetering;Zuid-Holland;52.214.167;4.644.444
Oude Willem;Drenthe;529.068.106;63.291.884
Oude-Niedorp;Noord-Holland;52.718.574;48.760.966
Oude-Tonge;Zuid-Holland;516.909.767;42.126.832
Oudega;Friesland;531.255.486;59.969.873
Oudehaske;Friesland;529.568.858;58.714.262
Oudehorne;Friesland;529.609.287;60.765.496
Oudelande;Zeeland;51.411.102;38.528.273
Oudemirdum;Friesland;528.494.203;55.332.441
Oudemolen;Drenthe;530.494.384;66.390.053
Oudemolen;Noord-Brabant;516.648.557;44.590.927
Oudenbosch;Noord-Brabant;515.832.716;45.275.943
Oudendijk;Noord-Holland;526.010.281;4.966.909
Oudenhoorn;Zuid-Holland;518.272.731;41.915.346
Ouderkerk aan de Amstel;Noord-Holland;522.947.295;4.915.337
Ouderkerk aan den IJssel;Zuid-Holland;519.324.481;46.371.786
Oudeschans;Groningen;531.384.698;71.407.322
Oudeschild;Noord-Holland;530.389.751;48.479.885
Oudeschip;Groningen;53.430.506;68.233.997
Oudeschoot;Friesland;52.933.158;59.798.679
Oudesluis;Noord-Holland;52.834.414;48.090.952
Oudewater;Utrecht;52.024.163;48.684.168
Oudezijl;Groningen;531.858.798;71.921.148
Oudkarspel;Noord-Holland;527.095.702;48.076.765
Oudorp;Noord-Holland;526.303.937;47.736.543
Oudwoude;Friesland;532.833.333;61.166.667
Ouwerkerk;Zeeland;516.260.288;39.834.204
Ouwster-Nijega;Friesland;529.296.763;58.044.253
Ouwsterhaule;Friesland;529.389.359;58.135.725
Overasselt;Gelderland;517.599.398;57.866.459
Overberg;Utrecht;52.039.517;54.982.362
Overdinkel;Overijssel;522.402.256;70.335.926
Overloon;Noord-Brabant;515.715.151;59.476.477
Overschild;Groningen;532.821.234;67.853.193
Overslag;Zeeland;512.031.259;38.914.575
Overveen;Noord-Holland;523.921.054;46.095.975
Ovezande;Zeeland;514.297.919;38.216.803
Paasloo;Overijssel;528.133.756;6.013.115
Paesens;Friesland;534.015.212;60.849.873
Pannerden;Gelderland;518.880.305;60.447.439
Panningen;Limburg;513.288.575;59.794.342
Papekop;Utrecht;520.459.814;48.532.079
Papendrecht;Zuid-Holland;518.341.363;47.264.907
Papenhoven;Limburg;51.040.833;5.780.556
Papenvoort;Drenthe;52.952.215;67.026.832
Parrega;Friesland;530.187.592;54.776.928
Paterswolde;Drenthe;531.468.755;65.635.713
Peest;Drenthe;530.601.919;65.011.951
Peins;Friesland;53.206.274;55.944.189
Peize;Drenthe;531.476.207;64.955.655
Peperga;Friesland;528.484.746;60.507.283
Pernis;Zuid-Holland;518.887.319;43.890.747
Persingen;Gelderland;518.410.511;59.181.207
Pesse;Drenthe;527.722.444;64.501.941
Petten;Noord-Holland;527.645.968;46.615.332
Philippine;Zeeland;512.826.839;37.587.171
Piaam;Friesland;530.385.612;5.406.829
Piershil;Zuid-Holland;51.796.384;4.315.958
Pieterburen;Groningen;534.007.222;64.538.674
Pietersbierum;Friesland;532.157.199;54.764.288
Pieterzijl;Groningen;53.280.892;62.693.964
Pijnacker;Zuid-Holland;520.028.001;44.436.686
Pingjum;Friesland;531.158.288;54.392.565
Plasmolen;Limburg;517.358.346;59.251.617
Poederoijen;Gelderland;517.846.183;50.788.795
Poeldijk;Zuid-Holland;520.230.405;42.187.772
Polsbroek;Utrecht;519.765.277;4.850.949
Poortugaal;Zuid-Holland;518.679.294;44.010.869
Poortvliet;Zeeland;515.446.862;4.143.358
Poppenwier;Friesland;530.845.118;57.484.015
Posterholt;Limburg;511.226.691;60.334.246
Prinsenbeek;Noord-Brabant;515.992.106;47.110.517
Puiflijk;Gelderland;518.784.055;55.909.275
Punthorst;Overijssel;52.613.889;6.263.333
Purmer;Noord-Holland;524.744.038;50.004.082
Purmerend;Noord-Holland;524.958.915;49.341.712
Purmerland;Noord-Holland;524.814.429;4.925.769
Puth;Limburg;509.554.323;58.705.487
Putte;Noord-Brabant;51.358.896;43.957.354
