Plaatsnaam;Provincie;Latitude;Longitude
Boelenslaan;Friesland;531.615.492;61.460.059
Boer;Friesland;532.154.852;55.658.264
Boerakker;Groningen;531.827.877;63.185.826
Boesingheliede;Noord-Holland;523.610.933;47.255.443
Boijl;Friesland;529.101.278;62.007.187
Boksum;Friesland;53.176.945;57.280.173
Bolsward;Friesland;530.689.611;55.429.188
Bontebok;Friesland;529.632.199;60.281.857
Boornbergum;Friesland;530.824.994;60.439.752
Boornzwaag;Friesland;52.958.372;57.456.541
Borculo;Gelderland;521.135.036;65.203.603
Borger;Drenthe;529.296.213;67.925.791
Borgercompagnie;Groningen;531.342.843;68.055.932
Borgsweer;Groningen;53.297.626;70.137.074
Born;Limburg;510.340.446;5.810.984
Borne;Overijssel;523.031.574;67.740.461
Bornerbroek;Overijssel;523.085.181;6.655.053
Bornwird;Friesland;533.340.004;59.544.077
Borssele;Zeeland;514.256.645;37.336.697
Bosch en Duin;Utrecht;521.230.239;52.421.204
Boschoord;Drenthe;52.883.333;6.216.667
Boskoop;Zuid-Holland;520.742.845;46.584.762
Bosschenhoofd;Noord-Brabant;515.608.187;45.423.737
Botlek;Zuid-Holland;518.749.478;4.282.547
Bourtange;Groningen;530.066.519;71.922.626
Boven-Leeuwen;Gelderland;51.885.586;5.551.554
Bovenkarspel;Noord-Holland;526.984.453;52.496.041
Bovensmilde;Drenthe;529.778.674;64.783.777
Boxmeer;Noord-Brabant;516.452.689;59.566.657
Boxtel;Noord-Brabant;515.963.601;5.341.663
Braamt;Gelderland;519.226.581;62.643.586
Brakel;Gelderland;518.186.409;50.934.983
Brandwijk;Zuid-Holland;518.895.768;4.813.418
Brantgum;Friesland;533.521.088;59.301.891
Breda;Noord-Brabant;515.837.112;47.131.286
Bredevoort;Gelderland;519.421.422;66.184.985
Breedenbroek;Gelderland;518.757.895;64.692.446
Breezand;Noord-Holland;528.884.709;48.058.095
Breezanddijk;Friesland;53.02;5.206.944
Breskens;Zeeland;513.945.258;35.558.783
Breugel;Noord-Brabant;515.184.209;55.117.846
Breukelen;Utrecht;521.710.222;5.001.329
Breukeleveen;Noord-Holland;521.758.164;50.706.833
Brielle;Zuid-Holland;518.980.941;41.537.319
Briltil;Groningen;53.242.432;63.885.837
Britsum;Friesland;532.531.453;57.855.529
Britswert;Friesland;531.122.141;56.756.875
Broek;Friesland;52.983.056;5.777.222
Broek in Waterland;Noord-Holland;524.357.808;49.913.157
Broek op Langedijk;Noord-Holland;526.775.172;48.124.467
Broekhuizen;Limburg;514.861.249;61.636.824
Broekhuizen;Drenthe;52.694.214;62.664.905
Broekhuizenvorst;Limburg;514.950.867;61.569.232
Broekland;Overijssel;52.361.667;6.2
Broeksterwâld;Friesland;53.266.667;6
Bronkhorst;Gelderland;520.757.855;61.809.748
Bronneger;Drenthe;529.470.825;68.161.901
Bronnegerveen;Drenthe;529.547.586;68.392.262
Brouwershaven;Zeeland;517.253.972;39.121.993
Bruchem;Gelderland;517.867.535;52.383.323
Brucht;Overijssel;525.517.272;66.095.023
Bruchterveld;Overijssel;525.300.436;66.628.427
Bruinehaar;Overijssel;524.700.667;67.053.984
Bruinisse;Zeeland;516.629.014;4.094.781
Brummen;Gelderland;520.901.666;61.580.145
Brunssum;Limburg;509.370.429;59.422.325
Bruntinge;Drenthe;528.173.201;65.825.587
Buchten;Limburg;510.404.326;58.104.448
Budel;Noord-Brabant;512.741.027;55.763.506
Budel-Dorplein;Noord-Brabant;512.363.484;55.880.076
Budel-Schoot;Noord-Brabant;51.250.289;55.666.271
Buggenum;Limburg;512.323.713;5.981.036
Buinen;Drenthe;529.318.136;68.355.674
